time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-10 00:00:00+00:00,24,11,65,1
2023-01-11 00:00:00+00:00,7,5,17,1
2023-01-12 00:00:00+00:00,16,8,55,1
2023-01-13 00:00:00+00:00,10,6,38,1
2023-01-14 00:00:00+00:00,6,4,23,1
2023-01-15 00:00:00+00:00,3,2,6,1
2023-01-16 00:00:00+00:00,19,9,25,1
2023-01-17 00:00:00+00:00,9,6,16,1
2023-01-18 00:00:00+00:00,5,3,9,1
2023-01-19 00:00:00+00:00,2,2,1,1
2023-01-20 00:00:00+00:00,3,2,8,1
2023-01-21 00:00:00+00:00,4,3,7,1
2023-01-22 00:00:00+00:00,9,4,32,1
2023-01-23 00:00:00+00:00,36,6,41,1
2023-01-24 00:00:00+00:00,4,2,0,0
2023-01-25 00:00:00+00:00,6,3,8,1
2023-01-26 00:00:00+00:00,4,2,2,1
2023-01-27 00:00:00+00:00,6,3,4,1
2023-01-28 00:00:00+00:00,3,2,2,1
2023-01-29 00:00:00+00:00,6,3,12,1
2023-01-30 00:00:00+00:00,5,3,0,0
2023-01-31 00:00:00+00:00,9,5,26,1
2023-02-01 00:00:00+00:00,3,2,16,1
2023-02-02 00:00:00+00:00,4,2,0,0
2023-02-03 00:00:00+00:00,3,2,0,0
2023-02-04 00:00:00+00:00,5,3,20,1
2023-02-05 00:00:00+00:00,1,1,0,0
2023-02-06 00:00:00+00:00,2,2,0,0
2023-02-07 00:00:00+00:00,1,1,0,0
2023-02-08 00:00:00+00:00,1,1,1,1
2023-02-09 00:00:00+00:00,10,2,0,0
2023-02-10 00:00:00+00:00,1,1,0,0
2023-02-11 00:00:00+00:00,1,1,0,0
2023-02-12 00:00:00+00:00,6,3,0,0
2023-02-13 00:00:00+00:00,3,3,0,0
2023-02-14 00:00:00+00:00,3,2,0,0
2023-02-15 00:00:00+00:00,1,1,0,0
2023-02-16 00:00:00+00:00,3,2,0,0
2023-02-17 00:00:00+00:00,1,1,0,0
2023-02-18 00:00:00+00:00,1,1,0,0
2023-02-19 00:00:00+00:00,1,1,0,0
2023-02-20 00:00:00+00:00,2,2,0,0
2023-02-21 00:00:00+00:00,1,1,0,0
2023-02-22 00:00:00+00:00,1,1,1,1
2023-02-23 00:00:00+00:00,1,1,0,0
2023-02-24 00:00:00+00:00,1,1,0,0
2023-02-25 00:00:00+00:00,2,2,0,0
2023-02-26 00:00:00+00:00,1,1,0,0
2023-02-27 00:00:00+00:00,1,1,0,0
2023-02-28 00:00:00+00:00,1,1,0,0
2023-03-01 00:00:00+00:00,2,2,0,0
2023-03-02 00:00:00+00:00,4,3,0,0
2023-03-03 00:00:00+00:00,1,1,0,0
2023-03-04 00:00:00+00:00,1,1,0,0
2023-03-05 00:00:00+00:00,1,1,0,0
2023-03-06 00:00:00+00:00,2,2,0,0
2023-03-07 00:00:00+00:00,1,1,0,0
2023-03-08 00:00:00+00:00,1,1,0,0
2023-03-09 00:00:00+00:00,2,2,0,0
